optimizer,activation,initializer,loss,final_loss,final_accuracy
SGD,Sigmoid,LeCun,CrossEntropy,2.3765026323627683,0.11208333333333333
SGD,Sigmoid,LeCun,MSE,0.09168325549217249,0.10396666666666667
SGD,Sigmoid,LeCun,MAE,0.18003697086827564,0.09866666666666667
SGD,Sigmoid,LeCun,Huber,0.04677139423008198,0.09858333333333333
SGD,Tanh,Random,CrossEntropy,2.3024388810158927,0.1691
SGD,Tanh,Random,MSE,0.09000009521698248,0.07178333333333334
SGD,Tanh,Random,MAE,0.1800037836594397,0.05661666666666667
SGD,Tanh,Random,Huber,0.04500064060989561,0.11586666666666667
SGD,Tanh,Xavier,CrossEntropy,2.2868130222721947,0.11695
SGD,Tanh,Xavier,MSE,0.09118537346264109,0.08785
SGD,Tanh,Xavier,MAE,0.18044286986069488,0.11916666666666667
SGD,Tanh,Xavier,Huber,0.045777569608179754,0.06476666666666667
SGD,Tanh,He,CrossEntropy,2.382555068469978,0.10935
SGD,Tanh,He,MSE,0.08988957705278833,0.16578333333333334
SGD,Tanh,He,MAE,0.17858680440381136,0.1277
SGD,Tanh,He,Huber,0.04588161951801476,0.14088333333333333
SGD,Tanh,LeCun,CrossEntropy,2.2576583015213183,0.13295
SGD,Tanh,LeCun,MSE,0.09032542890771408,0.08221666666666666
SGD,Tanh,LeCun,MAE,0.17966587925255412,0.12153333333333333
SGD,Tanh,LeCun,Huber,0.045847482479844416,0.082
Momentum,ReLU,Random,CrossEntropy,2.3025927268863873,0.08416666666666667
Momentum,ReLU,Random,MSE,0.08999920941039871,0.09158333333333334
Momentum,ReLU,Random,MAE,0.18000025157769803,0.09221666666666667
Momentum,ReLU,Random,Huber,0.044999760029891395,0.13298333333333334
Momentum,ReLU,Xavier,CrossEntropy,2.320842071958052,0.10463333333333333
Momentum,ReLU,Xavier,MSE,0.09029004440362579,0.08058333333333334
Momentum,ReLU,Xavier,MAE,0.1806475164947597,0.09301666666666666
Momentum,ReLU,Xavier,Huber,0.04503913625532888,0.12681666666666666
Momentum,ReLU,He,CrossEntropy,2.3996262187249715,0.08968333333333334
Momentum,ReLU,He,MSE,0.09366762284983694,0.09803333333333333
Momentum,ReLU,He,MAE,0.1793152061171367,0.10516666666666667
Momentum,ReLU,He,Huber,0.045627205312788355,0.08238333333333334
Momentum,ReLU,LeCun,CrossEntropy,2.3131987567637893,0.11556666666666666
Momentum,ReLU,LeCun,MSE,0.0899276841487792,0.12686666666666666
Momentum,ReLU,LeCun,MAE,0.1800244653912387,0.08546666666666666
Momentum,ReLU,LeCun,Huber,0.045115634772700336,0.12608333333333333
Momentum,LeakyReLU,Random,CrossEntropy,2.302608388320082,0.10156666666666667
Momentum,LeakyReLU,Random,MSE,0.09000010863764801,0.11783333333333333
Momentum,LeakyReLU,Random,MAE,0.17999987689795996,0.09755
Momentum,LeakyReLU,Random,Huber,0.044999259060768966,0.1543
Momentum,LeakyReLU,Xavier,CrossEntropy,2.309656262367966,0.12041666666666667
Momentum,LeakyReLU,Xavier,MSE,0.09034159789619751,0.09295
Momentum,LeakyReLU,Xavier,MAE,0.17969296072746266,0.13893333333333333
Momentum,LeakyReLU,Xavier,Huber,0.04521938672662904,0.10856666666666667
Momentum,LeakyReLU,He,CrossEntropy,2.3887798671028557,0.10536666666666666
Momentum,LeakyReLU,He,MSE,0.0909319318700065,0.10791666666666666
Momentum,LeakyReLU,He,MAE,0.1794688763834442,0.10046666666666666
Momentum,LeakyReLU,He,Huber,0.04595054119091027,0.10395
Momentum,LeakyReLU,LeCun,CrossEntropy,2.2956582658999474,0.12021666666666667
Momentum,LeakyReLU,LeCun,MSE,0.0904882620048211,0.10371666666666667
Momentum,LeakyReLU,LeCun,MAE,0.17979331383198124,0.14251666666666668
Momentum,LeakyReLU,LeCun,Huber,0.044883699217644485,0.14146666666666666
Momentum,PReLU,Random,CrossEntropy,2.302645122213802,0.0828
Momentum,PReLU,Random,MSE,0.08999927830725597,0.09325
Momentum,PReLU,Random,MAE,0.17999878468026217,0.11461666666666667
Momentum,PReLU,Random,Huber,0.04499977522116695,0.07536666666666667
Momentum,PReLU,Xavier,CrossEntropy,2.308866132306417,0.15335
Momentum,PReLU,Xavier,MSE,0.09022294119778067,0.09843333333333333
Momentum,PReLU,Xavier,MAE,0.18013092113235818,0.10126666666666667
Momentum,PReLU,Xavier,Huber,0.04511665123154243,0.10756666666666667
Momentum,PReLU,He,CrossEntropy,2.3739572184271847,0.11303333333333333
Momentum,PReLU,He,MSE,0.09406947797433594,0.08798333333333333
Momentum,PReLU,He,MAE,0.17926422888635637,0.11386666666666667
Momentum,PReLU,He,Huber,0.04682516899362147,0.07113333333333334
Momentum,PReLU,LeCun,CrossEntropy,2.3280645412522074,0.09506666666666666
Momentum,PReLU,LeCun,MSE,0.0898207360222152,0.1142
Momentum,PReLU,LeCun,MAE,0.18012559192752875,0.06916666666666667
Momentum,PReLU,LeCun,Huber,0.04511801525928246,0.14281666666666668
Momentum,ELU,Random,CrossEntropy,2.302544709292613,0.12526666666666667
Momentum,ELU,Random,MSE,0.09000187267990421,0.06233333333333333
Momentum,ELU,Random,MAE,0.1800014118580285,0.0883
Momentum,ELU,Random,Huber,0.04499967750568201,0.092
Momentum,ELU,Xavier,CrossEntropy,2.367129729926017,0.0972
Momentum,ELU,Xavier,MSE,0.09103962985674426,0.0874
Momentum,ELU,Xavier,MAE,0.18116236391894064,0.08511666666666666
Momentum,ELU,Xavier,Huber,0.04542678404063675,0.09481666666666666
Momentum,ELU,He,CrossEntropy,2.264304021260029,0.14965
Momentum,ELU,He,MSE,0.09592732848681788,0.11003333333333333
Momentum,ELU,He,MAE,0.1786318167493313,0.11911666666666666
Momentum,ELU,He,Huber,0.04787701019946295,0.0746
Momentum,ELU,LeCun,CrossEntropy,2.31753354928339,0.10378333333333334
Momentum,ELU,LeCun,MSE,0.09035044115428943,0.10435
Momentum,ELU,LeCun,MAE,0.18040807344070967,0.06743333333333333
Momentum,ELU,LeCun,Huber,0.04470937954869256,0.13536666666666666
Momentum,Swish,Random,CrossEntropy,2.3025636374575873,0.11088333333333333
Momentum,Swish,Random,MSE,0.090000056744171,0.08926666666666666
Momentum,Swish,Random,MAE,0.18000098053511823,0.09168333333333334
Momentum,Swish,Random,Huber,0.04499989215643786,0.09503333333333333
Momentum,Swish,Xavier,CrossEntropy,2.315490672909555,0.09065
Momentum,Swish,Xavier,MSE,0.0901917336260647,0.10565
Momentum,Swish,Xavier,MAE,0.18001078139357274,0.09855
Momentum,Swish,Xavier,Huber,0.04504498984322062,0.089
Momentum,Swish,He,CrossEntropy,2.350253123087771,0.08083333333333333
Momentum,Swish,He,MSE,0.09073336377904047,0.10061666666666666
Momentum,Swish,He,MAE,0.18033994489502167,0.1018
Momentum,Swish,He,Huber,0.045499998430373806,0.09253333333333333
Momentum,Swish,LeCun,CrossEntropy,2.298657112617593,0.10446666666666667
Momentum,Swish,LeCun,MSE,0.09010014250103722,0.0769
Momentum,Swish,LeCun,MAE,0.18028978934919107,0.07158333333333333
Momentum,Swish,LeCun,Huber,0.04513091292815835,0.0745
Momentum,GELU,Random,CrossEntropy,2.30257346644327,0.10838333333333333
